SIE,APT,GD,PI,ten,puc,deg,target
2,1,3,4,9,9,9,no
2,1,3,5,9,9,9,no
2,1,4,1,9,9,9,no
2,1,4,2,9,9,9,no
2,1,4,3,9,9,9,no
2,1,4,4,9,9,9,no
2,1,4,5,9,9,9,no
2,1,5,1,9,9,9,no
2,1,5,2,9,9,9,no
2,1,5,3,9,9,9,no
2,1,5,4,9,9,9,no
2,1,5,5,9,9,9,no
2,2,1,1,9,9,9,no
2,2,1,2,9,9,9,no
2,2,1,3,9,9,9,no
2,2,1,4,9,9,9,no
2,2,1,5,9,9,9,no
2,2,2,1,9,9,9,no
2,2,2,2,9,9,9,no
2,2,2,3,9,9,9,no
2,2,2,4,9,9,9,no
2,2,2,5,9,9,9,no
2,2,3,1,9,9,9,no
2,2,3,2,9,9,9,no
2,2,3,3,9,9,9,no
2,2,3,4,9,9,9,no
2,2,3,5,9,9,9,no
2,2,4,1,9,9,9,no
2,2,4,2,9,9,9,no
2,2,4,3,9,9,9,no
2,2,4,4,9,9,9,no
2,2,4,5,9,9,9,no
2,2,5,1,9,9,9,no
2,2,5,2,9,9,9,no
2,2,5,3,9,9,9,no
2,2,5,4,9,9,9,no
2,2,5,5,9,9,9,no
2,3,1,1,9,9,9,no
2,3,1,2,9,9,9,no
2,3,1,3,9,9,9,no
2,3,1,4,9,9,9,no
2,3,1,5,9,9,9,no
2,3,2,1,9,9,9,no
2,3,2,2,9,9,9,no
2,3,2,3,9,9,9,no
2,3,2,4,9,9,9,no
2,3,2,5,9,9,9,no
2,3,3,1,9,9,9,no
2,3,3,2,9,9,9,no
2,3,3,3,9,9,9,no
2,3,3,4,9,9,9,no
2,3,3,5,9,9,9,no
2,3,4,1,9,9,9,no
2,3,4,2,9,9,9,no
2,3,4,3,9,9,9,no
2,3,4,4,9,9,9,no
2,3,4,5,9,9,9,no
2,3,5,1,9,9,9,no
2,3,5,2,9,9,9,no
2,3,5,3,9,9,9,no
2,3,5,4,9,9,9,no
2,3,5,5,9,9,9,no
2,4,1,1,9,9,9,no
2,4,1,2,9,9,9,no
2,4,1,3,9,9,9,no
2,4,1,4,9,9,9,no
2,4,1,5,9,9,9,no
2,4,2,1,9,9,9,no
2,4,2,2,9,9,9,no
2,4,2,3,9,9,9,no
2,4,2,4,9,9,9,no
2,4,2,5,9,9,9,no
2,4,3,1,9,9,9,no
2,4,3,2,9,9,9,no
2,4,3,3,9,9,9,no
2,4,3,4,9,9,9,no
2,4,3,5,9,9,9,no
2,4,4,1,9,9,9,no
2,4,4,2,9,9,9,no
2,4,4,3,9,9,9,no
2,4,4,4,9,9,9,no
2,4,4,5,9,9,9,no
2,4,5,1,9,9,9,no
2,4,5,2,9,9,9,no
2,4,5,3,9,9,9,no
2,4,5,4,9,9,9,no
2,4,5,5,9,9,9,no
2,5,1,1,9,9,9,no
2,5,1,2,9,9,9,no
2,5,1,3,9,9,9,no
2,5,1,4,9,9,9,no
2,5,1,5,9,9,9,no
2,5,2,1,9,9,9,no
2,5,2,2,9,9,9,no
2,5,2,3,9,9,9,no
2,5,2,4,9,9,9,no
2,5,2,5,9,9,9,no
2,5,3,1,9,9,9,no
2,5,3,2,9,9,9,no
2,5,3,3,9,9,9,no
2,5,3,4,9,9,9,no
2,5,3,5,9,9,9,no
2,5,4,1,9,9,9,no
2,5,4,2,9,9,9,no
2,5,4,3,9,9,9,no
2,5,4,4,9,9,9,no
2,5,4,5,9,9,9,no
2,5,5,1,9,9,9,no
2,5,5,2,9,9,9,no
2,5,5,3,9,9,9,no
2,5,5,4,9,9,9,no
2,5,5,5,9,9,9,no
3,1,1,1,9,9,9,no
3,1,1,2,9,9,9,no
3,1,1,3,9,9,9,no
3,1,1,4,9,9,9,no
3,1,1,5,9,9,9,no
3,1,2,1,9,9,9,no
3,1,2,2,9,9,9,no
3,1,2,3,9,9,9,no
3,1,2,4,9,9,9,no
3,1,2,5,9,9,9,no
3,1,3,1,9,9,9,no
3,1,3,2,9,9,9,no
3,1,3,3,9,9,9,no
3,1,3,4,9,9,9,no
3,1,3,5,9,9,9,no
3,1,4,1,9,9,9,no
3,1,4,2,9,9,9,no
3,1,4,3,9,9,9,no
3,1,4,4,9,9,9,no
3,1,4,5,9,9,9,no
3,1,5,1,9,9,9,no
3,1,5,2,9,9,9,no
3,1,5,3,9,9,9,no
3,1,5,4,9,9,9,no
3,1,5,5,9,9,9,no
3,2,1,1,9,9,9,no
3,2,1,2,9,9,9,no
3,2,1,3,9,9,9,no
3,2,1,4,9,9,9,no
3,2,1,5,9,9,9,no
3,2,2,1,9,9,9,no
3,2,2,2,9,9,9,no
3,2,2,3,9,9,9,no
3,2,2,4,9,9,9,no
3,2,2,5,9,9,9,no
3,2,3,1,9,9,9,no
3,2,3,2,9,9,9,no
3,2,3,3,9,9,9,no
3,2,3,4,9,9,9,no
3,2,3,5,9,9,9,no
3,2,4,1,9,9,9,no
3,2,4,2,9,9,9,no
3,2,4,3,9,9,9,no
3,2,4,4,9,9,9,no
3,2,4,5,9,9,9,no
3,2,5,1,9,9,9,no
3,2,5,2,9,9,9,no
3,2,5,3,9,9,9,no
3,2,5,4,9,9,9,no
3,2,5,5,9,9,9,no
3,3,1,1,9,9,9,no
3,3,1,2,9,9,9,no
3,3,1,3,9,9,9,no
3,3,1,4,9,9,9,no
3,3,1,5,9,9,9,no
3,3,2,1,9,9,9,no
3,3,2,2,9,9,9,no
3,3,2,3,9,9,9,yes
3,3,2,4,9,9,9,yes
3,3,2,5,9,9,9,yes
3,3,3,1,9,9,9,no
3,3,3,2,9,9,9,yes
3,3,3,3,9,9,9,no
3,3,3,4,9,9,9,yes
3,3,3,5,9,9,9,yes
3,3,4,1,9,9,9,no
3,3,4,2,9,9,9,yes
3,3,4,3,9,9,9,yes
3,3,4,4,9,9,9,yes
3,3,4,5,9,9,9,yes
3,3,5,1,9,9,9,no
3,3,5,2,9,9,9,yes
3,3,5,3,9,9,9,yes
3,3,5,4,9,9,9,yes
3,3,5,5,9,9,9,yes
3,4,1,1,9,9,9,no
3,4,1,2,9,9,9,no
3,4,1,3,9,9,9,no
3,4,1,4,9,9,9,no
3,4,1,5,9,9,9,no
3,4,2,1,9,9,9,no
3,4,2,2,9,9,9,yes
3,4,2,3,9,9,9,yes
3,4,2,4,9,9,9,yes
3,4,2,5,9,9,9,yes
3,4,3,1,9,9,9,no
3,4,3,2,9,9,9,yes
3,4,3,3,9,9,9,yes
3,4,3,4,9,9,9,yes
3,4,3,5,9,9,9,yes
3,4,4,1,9,9,9,no
3,4,4,2,9,9,9,yes
3,4,4,3,9,9,9,yes
3,4,4,4,9,9,9,yes
3,4,4,5,9,9,9,yes
3,4,5,1,9,9,9,no
3,4,5,2,9,9,9,yes
3,4,5,3,9,9,9,yes
3,4,5,4,9,9,9,yes
3,4,5,5,9,9,9,yes
3,5,1,1,9,9,9,yes
3,5,1,2,9,9,9,no
3,5,1,3,9,9,9,no
3,5,1,4,9,9,9,no
3,5,1,5,9,9,9,no
3,5,2,1,9,9,9,no
3,5,2,2,9,9,9,no
3,5,2,3,9,9,9,yes
3,5,2,4,9,9,9,yes
3,5,2,5,9,9,9,yes
3,5,3,1,9,9,9,no
3,5,3,2,9,9,9,yes
3,5,3,3,9,9,9,yes
3,5,3,4,9,9,9,yes
3,5,3,5,9,9,9,yes
3,5,4,1,9,9,9,no
3,5,4,2,9,9,9,yes
3,5,4,3,9,9,9,yes
3,5,4,4,9,9,9,yes
3,5,4,5,9,9,9,yes
3,5,5,1,9,9,9,no
3,5,5,2,9,9,9,yes
3,5,5,3,9,9,9,yes
3,5,5,4,9,9,9,yes
3,5,5,5,9,9,9,yes
4,1,1,1,9,9,9,no
4,1,1,2,9,9,9,no
4,1,1,3,9,9,9,no
4,1,1,4,9,9,9,no
4,1,1,5,9,9,9,no
4,1,2,1,9,9,9,no
4,1,2,2,9,9,9,no
4,1,2,3,9,9,9,no
4,1,2,4,9,9,9,no
4,1,2,5,9,9,9,no
4,1,3,1,9,9,9,no
4,1,3,2,9,9,9,no
4,1,3,3,9,9,9,no
4,1,3,4,9,9,9,no
4,1,3,5,9,9,9,no
4,1,4,1,9,9,9,no
4,1,4,2,9,9,9,no
4,1,4,3,9,9,9,no
4,1,4,4,9,9,9,no
4,1,4,5,9,9,9,no
4,1,5,1,9,9,9,no
4,1,5,2,9,9,9,no
4,1,5,3,9,9,9,no
4,1,5,4,9,9,9,no
4,1,5,5,9,9,9,no
4,2,1,1,9,9,9,no
4,2,1,2,9,9,9,no
4,2,1,3,9,9,9,no
4,2,1,4,9,9,9,no
4,2,1,5,9,9,9,no
4,2,2,1,9,9,9,no
4,2,2,2,9,9,9,no
4,2,2,3,9,9,9,no
4,2,2,4,9,9,9,no
4,2,2,5,9,9,9,no
4,2,3,1,9,9,9,no
4,2,3,2,9,9,9,yes
4,2,3,3,9,9,9,yes
4,2,3,4,9,9,9,yes
4,2,3,5,9,9,9,yes
4,2,4,1,4,4,4,no
4,2,4,2,4,4,4,yes
4,2,4,3,4,4,4,yes
4,2,4,4,4,4,4,yes
4,2,4,5,4,4,4,yes
4,2,5,1,4,4,4,no
4,2,5,2,4,4,4,no
4,2,5,3,4,4,4,yes
4,2,5,4,4,4,4,yes
4,2,5,5,4,4,4,yes
4,3,1,1,4,4,4,no
4,3,1,2,4,4,4,no
4,3,1,3,4,4,4,no
4,3,1,4,4,4,4,no
4,3,1,5,4,4,4,no
4,3,2,1,4,4,4,no
4,3,2,2,4,4,4,no
4,3,2,3,4,4,4,yes
4,3,2,4,4,4,4,yes
4,3,2,5,4,4,4,yes
4,3,3,1,4,4,4,no
4,3,3,2,4,4,4,yes
4,3,3,3,4,4,4,yes
4,3,3,4,4,4,4,yes
4,3,3,5,4,4,4,yes
4,3,4,1,4,4,4,no
4,3,4,2,4,4,4,yes
4,3,4,3,4,4,4,yes
4,3,4,4,4,4,4,yes
4,3,4,5,4,4,4,yes
4,3,5,1,4,4,4,no
4,3,5,2,4,4,4,no
4,3,5,3,4,4,4,yes
4,3,5,4,4,4,4,yes
4,3,5,5,4,4,4,yes
4,4,1,1,4,4,4,no
4,4,1,2,4,4,4,no
4,4,1,3,4,4,4,no
4,4,1,4,4,4,4,no
4,4,1,5,4,4,4,no
4,4,2,1,4,4,4,no
4,4,2,2,4,4,4,no
4,4,2,3,4,4,4,no
4,4,2,4,4,4,4,yes
4,4,2,5,4,4,4,yes
4,4,3,1,4,4,4,no
4,4,3,2,4,4,4,no
4,4,3,3,4,4,4,yes
4,4,3,4,4,4,4,yes
4,4,3,5,4,4,4,yes
4,4,4,1,4,4,4,no
4,4,4,2,4,4,4,no
4,4,4,3,4,4,4,yes
4,4,4,4,4,4,4,yes
4,4,4,5,4,4,4,yes
4,4,5,1,4,4,4,no
4,4,5,2,4,4,4,no
4,4,5,3,4,4,4,yes
4,4,5,4,4,4,4,yes
4,4,5,5,4,4,4,yes
4,5,1,1,4,4,4,no
4,5,1,2,4,4,4,no
4,5,1,3,4,4,4,no
4,5,1,4,4,4,4,no
4,5,1,5,4,4,4,no
4,5,2,1,4,4,4,no
4,5,2,2,4,4,4,no
4,5,2,3,4,4,4,no
4,5,2,4,4,4,4,yes
4,5,2,5,4,4,4,yes
4,5,3,1,4,4,4,no
4,5,3,2,4,4,4,no
4,5,3,3,4,4,4,yes
4,5,3,4,5,5,5,yes
4,5,3,5,5,5,5,yes
4,5,4,1,5,5,5,no
4,5,4,2,5,5,5,no
4,5,4,3,5,5,5,yes
4,5,4,4,5,5,5,yes
4,5,4,5,5,5,5,yes
4,5,5,1,5,5,5,no
4,5,5,2,5,5,5,no
4,5,5,3,5,5,5,yes
4,5,5,4,5,5,5,yes
4,5,5,5,5,5,5,yes
5,1,1,1,5,5,5,no
5,1,1,2,5,5,5,no
5,1,1,3,5,5,5,no
5,1,1,4,5,5,5,no
5,1,1,5,5,5,5,no
5,1,2,1,5,5,5,no
5,1,2,2,5,5,5,no
5,1,2,3,5,5,5,no
5,1,2,4,5,5,5,no
5,1,2,5,5,5,5,no
5,1,3,1,5,5,5,no
5,1,3,2,5,5,5,no
5,1,3,3,5,5,5,no
5,1,3,4,5,5,5,no
5,1,3,5,5,5,5,no
5,1,4,1,5,5,5,no
5,1,4,2,5,5,5,no
5,1,4,3,5,5,5,no
5,1,4,4,5,5,5,no
5,1,4,5,5,5,5,no
5,1,5,1,5,5,5,no
5,1,5,2,5,5,5,no
5,1,5,3,5,5,5,no
5,1,5,4,5,5,5,no
5,1,5,5,5,5,5,no
5,2,1,1,5,5,5,no
5,2,1,2,5,5,5,no
5,2,1,3,5,5,5,no
5,2,1,4,5,5,5,no
5,2,1,5,5,5,5,no
5,2,2,1,5,5,5,no
5,2,2,2,5,5,5,no
5,2,2,3,5,5,5,no
5,2,2,4,5,5,5,yes
5,2,2,5,5,5,5,yes
5,2,3,1,5,5,5,no
5,2,3,2,5,5,5,no
5,2,3,3,5,5,5,no
5,2,3,4,5,5,5,yes
5,2,3,5,5,5,5,yes
5,2,4,1,5,5,5,no
5,2,4,2,5,5,5,no
5,2,4,3,5,5,5,no
5,2,4,4,5,5,5,yes
5,2,4,5,5,5,5,yes
5,2,5,1,5,5,5,no
5,2,5,2,5,5,5,no
5,2,5,3,5,5,5,no
5,2,5,4,5,5,5,yes
5,2,5,5,5,5,5,yes
5,3,1,1,5,5,5,no
5,3,1,2,5,5,5,no
5,3,1,3,5,5,5,no
5,3,1,4,5,5,5,no
5,3,1,5,5,5,5,no
5,3,2,1,5,5,5,no
5,3,2,2,5,5,5,no
5,3,2,3,5,5,5,no
5,3,2,4,5,5,5,yes
5,3,2,5,5,5,5,yes
5,3,3,1,5,5,5,no
5,3,3,2,5,5,5,no
5,3,3,3,5,5,5,no
5,3,3,4,5,5,5,yes
5,3,3,5,5,5,5,yes
5,3,4,1,5,5,5,no
5,3,4,2,5,5,5,no
5,3,4,3,5,5,5,yes
5,3,4,4,5,5,5,yes
5,3,4,5,5,5,5,yes
5,3,5,1,5,5,5,no
5,3,5,2,5,5,5,yes
5,3,5,3,5,5,5,yes
5,3,5,4,5,5,5,yes
5,3,5,5,5,5,5,yes
5,4,1,1,5,5,5,no
5,4,1,2,5,5,5,no
5,4,1,3,5,5,5,no
5,4,1,4,5,5,5,no
5,4,1,5,5,5,5,no
5,4,2,1,5,5,5,no
5,4,2,2,5,5,5,no
5,4,2,3,5,5,5,no
5,4,2,4,5,5,5,yes
5,4,2,5,5,5,5,yes
5,4,3,1,5,5,5,no
5,4,3,2,5,5,5,no
5,4,3,3,5,5,5,yes
5,4,3,4,5,5,5,yes
5,4,3,5,5,5,5,yes
5,4,4,1,5,5,5,no
5,4,4,2,5,5,5,yes
5,4,4,3,5,5,5,yes
5,4,4,4,5,5,5,yes
5,4,4,5,5,5,5,yes
5,4,5,1,5,5,5,no
5,4,5,2,5,5,5,yes
5,4,5,3,5,5,5,yes
5,4,5,4,5,5,5,yes
5,4,5,5,5,5,5,yes
5,5,1,1,5,5,5,no
5,5,1,2,5,5,5,no
5,5,1,3,5,5,5,no
5,5,1,4,5,5,5,no
5,5,1,5,5,5,5,no
5,5,2,1,5,5,5,no
5,5,2,2,5,5,5,no
5,5,2,3,5,5,5,no
5,5,2,4,5,5,5,yes
5,5,2,5,5,5,5,yes
5,5,3,1,5,5,5,no
5,5,3,2,5,5,5,no
5,5,3,3,5,5,5,yes
5,5,3,4,5,5,5,yes
5,5,3,5,5,5,5,yes
5,5,4,1,5,5,5,no
5,5,4,2,5,5,5,no
5,5,4,3,5,5,5,yes
5,5,4,4,5,5,5,yes
5,5,4,5,5,5,5,yes
5,5,5,1,5,5,5,no
5,5,5,2,5,5,5,no
5,5,5,3,5,5,5,yes
5,5,5,4,5,5,5,yes
5,5,5,5,5,5,5,yes
